Repo ID,Forks >= 10,Contributions >= 10,Contributions < 10,Developers,Common Contributions,Forks - Contributions >= 10 - Developers,PR Count,PR Commits Count,Stars >= 10 PRs Count,Stars >= 10 PRs Commits Count
php/php-src,11,1,10,4,0,6,30,42,1,1
wg/wrk,3,1,33,2,1,1,30,94,1,1
curl/curl,4,0,5,1,0,3,30,106,0,0
tmux/tmux,2,0,17,2,0,0,30,77,0,0
bilibili/ijkplayer,9,0,32,7,0,2,30,104,0,0
lizongying/my-tv,2,1,20,0,0,1,21,55,1,1
jqlang/jq,0,0,14,0,0,0,30,58,0,0
pbatard/rufus,4,0,22,4,0,0,30,44,0,0
mpv-player/mpv,4,0,13,4,0,0,30,67,0,0
coolsnowwolf/lede,11,0,14,10,0,1,28,130,0,0
nothings/stb,1,0,26,0,0,1,30,48,0,0
valinet/ExplorerPatcher,4,1,56,3,1,1,30,86,1,5
openssl/openssl,19,1,16,8,0,10,30,72,2,3
nginx/nginx,6,0,15,4,0,2,30,100,0,0
raysan5/raylib,5,0,26,4,0,1,30,76,0,0
kingToolbox/WindTerm,1,0,5,0,0,1,7,14,0,0
ValdikSS/GoodbyeDPI,2,1,45,2,1,0,30,67,1,10
ggreer/the_silver_searcher,4,0,30,3,0,1,30,35,0,0
koekeishiya/yabai,1,0,31,1,0,0,30,39,0,0
pjreddie/darknet,21,0,55,19,0,2,28,105,0,0
libuv/libuv,1,1,13,0,0,0,30,36,1,1
robertdavidgraham/masscan,3,1,21,2,1,1,30,107,1,30
taosdata/TDengine,0,0,1,0,0,0,30,115,0,0
arendst/Tasmota,11,1,13,9,1,2,30,113,1,1
hashcat/hashcat,4,1,5,1,0,2,30,86,22,36
openwrt/openwrt,74,0,13,37,0,37,30,48,0,0
valkey-io/valkey,0,0,19,0,0,0,30,58,0,0
SamyPesse/How-to-Make-a-Computer-Operating-System,2,0,45,1,0,1,30,57,0,0
radareorg/radare2,2,0,4,1,0,1,30,132,0,0
iovisor/bcc,2,0,16,2,0,0,30,42,0,0
julycoding/The-Art-Of-Programming-By-July-2nd,10,0,29,1,0,9,30,41,0,0
micropython/micropython,40,2,11,25,0,13,30,48,9,17
TheAlgorithms/C,2,0,27,1,0,1,30,47,0,0
gentilkiwi/mimikatz,3,0,66,3,0,0,30,80,0,0
jarun/nnn,0,0,16,0,0,0,30,46,0,0
lvgl/lvgl,4,1,15,2,0,1,30,67,3,14
HandBrake/HandBrake,0,0,9,0,0,0,30,71,0,0
Awesome-HarmonyOS/HarmonyOS,2,0,34,0,0,2,30,46,0,0
DarkFlippers/unleashed-firmware,11,0,12,5,0,6,30,131,0,0
jart/cosmopolitan,1,0,18,0,0,1,30,92,0,0
allinurl/goaccess,0,0,20,0,0,0,30,75,0,0
timescale/timescaledb,0,0,6,0,0,0,30,85,0,0
qmk/qmk_firmware,97,1,16,56,1,41,30,171,1,1
karpathy/llama2.c,25,5,22,22,5,3,30,84,6,8
ish-app/ish,2,0,22,2,0,0,29,97,0,0
postgres/postgres,6,2,20,5,2,1,30,201,3,90
ExistentialAudio/BlackHole,2,0,17,2,0,0,30,98,0,0
woltapp/blurhash,1,0,17,1,0,0,30,79,0,0
pgvector/pgvector,0,0,22,0,0,0,30,43,0,0
skywind3000/kcp,0,0,31,0,0,0,30,38,0,0
ffmpegwasm/ffmpeg.wasm,3,0,30,3,0,0,30,49,0,0
shadowsocks/shadowsocks-libev,9,0,17,4,0,5,30,45,0,0
NVIDIA/open-gpu-kernel-modules,2,0,27,2,0,0,29,39,0,0
reactos/reactos,4,1,13,1,0,2,30,132,1,3
videolan/vlc,2,0,30,2,0,0,30,64,0,0
espressif/esp-idf,8,0,14,5,0,3,29,39,0,0
swaywm/sway,2,0,19,2,0,0,30,49,0,0
UberGuidoZ/Flipper,11,1,28,0,0,10,30,87,12,24
sandboxie-plus/Sandboxie,3,0,16,1,0,2,30,77,0,0
tursodatabase/libsql,0,0,12,0,0,0,30,47,0,0
sumatrapdfreader/sumatrapdf,2,0,13,2,0,0,30,54,0,0
fastfetch-cli/fastfetch,0,0,24,0,0,0,30,205,0,0
nicbarker/clay,0,0,23,0,0,0,30,69,0,0
davatorium/rofi,1,1,18,1,1,0,30,131,3,35
gojue/ecapture,0,0,7,0,0,0,29,63,0,0
flipperdevices/flipperzero-firmware,21,1,17,13,0,7,30,111,1,6
systemd/systemd,4,0,10,1,0,3,30,63,0,0
SpacehuhnTech/esp8266_deauther,8,1,23,5,0,2,30,152,1,7
acidanthera/OpenCorePkg,2,0,17,2,0,0,30,66,0,0
glfw/glfw,2,0,28,1,0,1,30,57,0,0
ImageMagick/ImageMagick,1,0,44,0,0,1,30,67,0,0
memcached/memcached,8,1,13,5,0,2,30,40,9,12
vurtun/nuklear,1,0,49,1,0,0,29,69,0,0
arut/nginx-rtmp-module,5,0,25,5,0,0,30,78,0,0
cloudwu/skynet,6,0,21,5,0,1,30,42,0,0
OpenNHP/opennhp,0,0,5,0,0,0,30,103,0,0
peng-zhihui/Dummy-Robot,2,0,6,0,0,2,8,10,0,0
s-matyukevich/raspberry-pi-os,1,0,30,1,0,0,30,43,0,0
haiwen/seafile,0,0,1,0,0,0,30,46,0,0
brunodev85/winlator,13,3,21,10,3,3,30,78,6,35
openresty/openresty,0,0,15,0,0,0,30,67,0,0
alibaba/tengine,0,0,19,0,0,0,29,58,0,0
wazuh/wazuh,0,0,4,0,0,0,30,150,0,0
jedisct1/libsodium,1,0,32,1,0,0,30,51,0,0
jonas/tig,0,0,18,0,0,0,29,70,0,0
libsdl-org/SDL,10,0,18,6,0,4,30,72,0,0
coturn/coturn,0,0,9,0,0,0,30,57,0,0
octalmage/robotjs,4,1,51,4,1,0,30,141,1,29
zephyrproject-rtos/zephyr,11,1,17,3,0,7,30,63,7,16
SoftEtherVPN/SoftEtherVPN,3,0,17,1,0,2,30,86,0,0
twitter/twemproxy,2,0,13,2,0,0,30,103,0,0
winsiderss/systeminformer,2,0,10,2,0,0,30,116,0,0
